,area,bedroom,price,location
1,26,5,21000000,คลองเตย
2,55,4,78000000,คลองเตย
3,24,3,13500000,คลองเตย
4,34,3,44000000,คลองเตย
5,33,3,21900000,คลองเตย
6,23,5,13900000,คลองเตย
7,70.2,5,20500000,จตุจักร
8,99,7,65000000,จตุจักร
9,113,4,19000000,จตุจักร
10,148,5,38000000,จตุจักร
11,46,3,35500000,จตุจักร
12,151,5,48500000,จตุจักร
13,148,5,37990000,จตุจักร
14,34.1,3,7600000,จตุจักร
15,110,5,16500000,จตุจักร
16,64,4,48000000,จตุจักร
17,24.9,3,17000000,จตุจักร
18,110,6,17000000,จตุจักร
19,91,5,45000000,จตุจักร
20,101,4,34500000,จตุจักร
21,45,5,8900000,จตุจักร
22,78,5,16000000,จตุจักร
23,70,5,20500000,จตุจักร
24,29.7,3,25900000,จตุจักร
25,60.1,5,14290000,ดอนเมือง
26,61.2,4,15990000,ดอนเมือง
27,51,2,6000000,ดอนเมือง
28,333,4,32000000,ดอนเมือง
29,54,3,16900000,ดอนเมือง
30,39.3,3,5890000,ดอนเมือง
31,81,4,25400000,ดอนเมือง
32,81,4,25400000,ดอนเมือง
33,17,2,1990000,ดอนเมือง
34,70,4,9900000,ดอนเมือง
35,155,4,55000000,ดอนเมือง
36,56.2,3,4900000,ดอนเมือง
37,55,3,36000000,ดอนเมือง
38,100,3,36000000,ดอนเมือง
39,17.9,3,3400000,ดอนเมือง
40,35,2,2300000,ดอนเมือง
41,52.5,3,4500000,ดอนเมือง
42,20,2,6500000,ดอนเมือง
43,20,2,6500000,ดอนเมือง
44,50.5,3,6590000,ดอนเมือง
45,87,5,20900000,ดอนเมือง
46,54,3,16900000,ดอนเมือง
47,23,3,5600000,ดอนเมือง
48,17.7,3,3990000,ดอนเมือง
49,39,3,5890000,ดอนเมือง
50,84,4,15288000,ดอนเมือง
51,73.5,3,9700000,ดอนเมือง
52,92.6,4,16390200,ดอนเมือง
53,18,2,3990000,ดอนเมือง
54,21.4,3,2590000,ดอนเมือง
55,28,3,3800000,ดอนเมือง
56,54.7,3,23998000,ดอนเมือง
57,28.3,3,6500000,ดอนเมือง
58,52.5,4,4990000,ดอนเมือง
59,22.2,3,7500000,ดอนเมือง
60,66.2,4,8900000,ดอนเมือง
61,35,5,8500000,ดอนเมือง
62,68.3,5,16999999,ดอนเมือง
63,25,2,1950000,ดอนเมือง
64,25,2,1950000,ดอนเมือง
65,54,2,5900000,ดอนเมือง
66,18,2,2300000,ดอนเมือง
67,36,3,3200000,ดอนเมือง
68,80,4,26100000,ดอนเมือง
69,84,4,12300000,ดอนเมือง
70,23,3,2590000,ดอนเมือง
71,120,5,39400000,ดอนเมือง
72,60,4,15000000,ดอนเมือง
73,62,3,15500000,ดอนเมือง
74,400,6,48000000,ดอนเมือง
75,387,6,50000000,ดอนเมือง
76,52.5,3,11900000,ดอนเมือง
77,70.4,3,6900000,ดอนเมือง
78,50,4,9200000,ดอนเมือง
79,73,5,6800000,ดอนเมือง
80,19,2,2000000,ดอนเมือง
81,21,3,3000000,ดอนเมือง
82,23.2,3,2790000,ดอนเมือง
83,52,3,7100000,ดอนเมือง
84,81,4,25400000,ดอนเมือง
85,120,3,18500000,ดอนเมือง
86,18,2,3990000,ดอนเมือง
87,35.8,3,6190000,ดอนเมือง
88,17.5,2,2090000,ดอนเมือง
89,35.4,6,10300000,ดอนเมือง
90,22.2,3,2790000,ดอนเมือง
91,39.3,3,6900000,ดอนเมือง
92,126,3,16900000,ดอนเมือง
93,64.6,3,6490000,ดอนเมือง
94,22.7,3,3500000,ดอนเมือง
95,32.6,1,13500000,ดอนเมือง
96,22.5,3,11000000,ดอนเมือง
97,25.4,3,3000000,ดอนเมือง
98,24.9,3,5390000,ดอนเมือง
99,17.1,3,2600000,ดอนเมือง
100,20.1,3,6990000,ดอนเมือง
101,17.9,3,3890000,ดอนเมือง
102,128.4,3,17800000,ดอนเมือง
103,67,3,7370000,ดอนเมือง
104,70.4,3,5990000,ดอนเมือง
105,89,6,89000000,ดอนเมือง
106,144,3,18000000,ดอนเมือง
107,20,2,1690000,ดอนเมือง
108,26,3,7350000,ดอนเมือง
109,24,3,3300000,ดอนเมือง
110,21.4,3,2300000,ดอนเมือง
111,42,3,7500000,ดอนเมือง
112,69.6,4,4300000,ดอนเมือง
113,32.6,3,13500000,ดอนเมือง
114,35,3,6190000,ดอนเมือง
115,81,4,25400000,ดอนเมือง
116,128.2,5,39490000,ดอนเมือง
117,131,5,39000000,ดอนเมือง
118,136.9,5,75000000,ดอนเมือง
119,51.2,3,3200000,บางขุนเทียน
120,50,3,3000000,บางขุนเทียน
121,148,5,23000000,บางขุนเทียน
122,158,5,29900000,บางขุนเทียน
123,45,4,3250000,บางขุนเทียน
124,135,4,18000000,บางขุนเทียน
125,50.6,3,4690000,บางขุนเทียน
126,19.4,3,2850000,บางขุนเทียน
127,18.5,3,2790000,บางขุนเทียน
128,218.6,5,32000000,บางขุนเทียน
129,98,3,3680000,บางขุนเทียน
130,129.8,4,18000000,บางขุนเทียน
131,129.8,4,18000000,บางขุนเทียน
132,32.4,4,4200000,บางขุนเทียน
133,54,3,5500000,บางขุนเทียน
134,63.8,3,6500000,บางขุนเทียน
135,18,1,3490000,บางขุนเทียน
136,53.6,3,6990000,บางขุนเทียน
137,21,4,2900000,บางขุนเทียน
138,158,5,29900000,บางขุนเทียน
139,19.6,3,4890000,บางขุนเทียน
140,175,4,49000000,บางขุนเทียน
141,66.3,4,5090000,บางขุนเทียน
142,158,5,29900000,บางขุนเทียน
143,101,3,6500000,บางขุนเทียน
144,70,3,3900000,บางขุนเทียน
145,89,4,5999000,บางขุนเทียน
146,174,5,69800000,บางขุนเทียน
147,200,5,24000000,บางขุนเทียน
148,158,5,29900000,บางขุนเทียน
149,20.6,3,2890000,บางขุนเทียน
150,106.4,3,8250000,บางขุนเทียน
151,200,10,186000000,บางขุนเทียน
152,39,3,3990000,บางขุนเทียน
153,174,5,69800000,บางขุนเทียน
154,20.7,3,3950000,บางขุนเทียน
155,58.1,4,5100000,บางขุนเทียน
156,129.8,4,16900000,บางขุนเทียน
157,106,3,5500000,บางขุนเทียน
158,21,4,2450000,บางขุนเทียน
159,21,4,2350000,บางขุนเทียน
160,16.5,3,2000000,บางขุนเทียน
161,52.1,3,6482000,บางขุนเทียน
162,81,4,7900000,บางขุนเทียน
163,60,5,4400000,บางขุนเทียน
164,55,3,6200000,บางขุนเทียน
165,143.6,3,8500000,บางขุนเทียน
166,112.8,4,6500000,บางขุนเทียน
167,54,3,5140000,บางขุนเทียน
168,50,3,2990000,บางขุนเทียน
169,30,4,3450000,บางขุนเทียน
170,120,3,19000000,บางขุนเทียน
171,52,3,3450000,บางขุนเทียน
172,50.6,3,4690000,บางขุนเทียน
173,54,3,6500000,บางขุนเทียน
174,81,4,12900000,บางขุนเทียน
175,37.2,4,6800000,บางขุนเทียน
176,17,2,2490000,บางขุนเทียน
177,16.5,2,1850000,บางขุนเทียน
178,65,3,7900000,บางขุนเทียน
179,93,4,5690000,บางขุนเทียน
180,93,4,5690000,บางขุนเทียน
181,93,4,5690000,บางขุนเทียน
182,79.5,3,5290000,บางขุนเทียน
183,60,3,5590000,บางขุนเทียน
184,83.7,3,6500000,บางขุนเทียน
185,70,4,24500000,บางขุนเทียน
186,109.1,4,9290000,บางขุนเทียน
187,17.5,3,3200000,บางขุนเทียน
188,29.6,3,5590000,บางขุนเทียน
189,19,6,4350000,บางขุนเทียน
190,63,5,6200000,บางขุนเทียน
191,19,4,4350000,บางขุนเทียน
192,50,3,6900000,บางขุนเทียน
193,200,5,95000000,บางขุนเทียน
194,16,2,1990000,บางขุนเทียน
195,156.5,5,49000000,บางขุนเทียน
196,74.4,4,6350000,บางขุนเทียน
197,51.9,4,6450000,บางขุนเทียน
198,60,3,4650000,บางขุนเทียน
199,18,2,2290000,บางขุนเทียน
200,120.3,3,19000000,บางขุนเทียน
201,110,4,5800000,บางขุนเทียน
202,30,4,3750000,บางขุนเทียน
203,88,4,9900000,บางขุนเทียน
204,33.3,3,6500000,บางขุนเทียน
205,80,4,12900000,บางขุนเทียน
206,300,3,19000000,บางขุนเทียน
207,31.1,3,6700000,บางแค
208,168.2,4,26000000,บางแค
209,85.6,5,10300000,บางแค
210,19,4,4100000,บางแค
211,19.2,4,3990000,บางแค
212,60,3,5290000,บางแค
213,27,3,2770000,บางแค
214,18,4,2290000,บางแค
215,19,3,4490000,บางแค
216,20.3,3,2890000,บางแค
217,84.5,4,13500000,บางแค
218,107.3,4,10900000,บางแค
219,16,2,1590000,บางแค
220,22.5,4,3290000,บางแค
221,20,2,2400000,บางแค
222,40,2,2850000,บางแค
223,56.5,3,10400000,บางแค
224,53.5,3,4500000,บางแค
225,23,4,3990000,บางแค
226,38.4,3,3490000,บางแค
227,67.5,3,4500000,บางแค
228,18,3,2390000,บางแค
229,111.4,4,8100000,บางแค
230,39.1,4,11990000,บางแค
231,43.4,3,4890000,บางแค
232,18,2,2500000,บางแค
233,33.4,3,3590000,บางแค
234,71.7,3,4000000,บางแค
235,21.3,3,2350000,บางแค
236,118,4,8290000,บางแค
237,46,3,3550000,บางแค
238,18,3,2490000,บางแค
239,240,4,27000000,บางแค
240,17,2,1900000,บางแค
241,104,4,6800000,บางแค
242,65,3,6890000,บางแค
243,408,3,31000000,บางแค
244,137,5,17800000,บางแค
245,60.8,4,11500000,บางแค
246,30,3,3550000,บางแค
247,117.6,4,23000000,บางแค
248,60,4,7200000,บางแค
249,60.8,4,15900000,บางแค
250,68.8,3,4500000,บางแค
251,55.6,3,4700000,บางแค
252,21.9,3,2790000,บางแค
253,37.4,4,9150000,บางแค
254,68.7,5,18000000,บางแค
255,35,3,3370000,บางแค
256,24.8,5,4500000,บางแค
257,25,2,2890000,บางแค
258,21.8,3,3790000,บางแค
259,37,4,3300000,บางแค
260,18.5,3,2375000,บางแค
261,22,3,2200000,บางแค
262,50.7,4,8450000,บางแค
263,36,3,4790000,บางแค
264,50,3,5990000,บางแค
265,18,3,2300000,บางแค
266,172.5,4,18000000,บางแค
267,54,3,2700000,บางแค
268,67.3,3,9200000,บางแค
269,111.7,4,18900000,บางแค
270,223,7,45000000,บางแค
271,20,4,2390000,บางแค
272,106.9,3,10340000,บางแค
273,18.1,2,2650000,บางแค
274,26,3,2640000,บางแค
275,20,4,2390000,บางแค
276,124.5,3,12500000,บางแค
277,23.3,3,2590000,บางแค
278,35.7,2,3300000,บางแค
279,56.7,4,12000000,บางแค
280,49,5,4500000,บางแค
281,41,4,11000000,บางแค
282,53,3,6450000,บางแค
283,35,6,7000000,บางแค
284,20,3,3330000,บางแค
285,85.6,4,14000000,บางแค
286,123,3,16900000,บางแค
287,109.6,4,16500000,บางแค
288,109.6,4,16500000,บางแค
289,231,6,19500000,บางแค
290,135,4,9900000,บางแค
291,65,3,6990000,บางแค
292,177.8,4,55000000,บางแค
293,17,2,2200000,บางแค
294,34,3,3500000,บางแค
295,117.6,4,23000000,บางแค
296,22,5,5990000,บางแค
297,20,3,2900000,บางแค
298,20,4,3790000,บางแค
299,91,7,7900000,บางแค
300,18.7,3,1970000,บางแค
301,143.3,4,28000000,บางแค
302,115,4,19900000,บางแค
303,144.6,6,12900000,บางแค
304,68.9,3,12000000,บางแค
305,103,5,16500000,บางแค
306,103,1,7900000,บางแค
307,18.7,3,4500000,บางแค
308,50,3,5900000,บางแค
309,30.5,3,2850000,บางแค
310,62,3,5500000,บางแค
311,17.1,3,3390000,บางแค
312,34,3,6300000,บางแค
313,37,3,5200000,บางแค
314,51,4,4690000,บางแค
315,20,3,3600000,บางแค
316,114.4,4,11900000,บางแค
317,19,3,2890000,บางแค
318,25,3,2850000,บางแค
319,34,3,6500000,บางแค
320,18,2,2300000,บางแค
321,18,1,1790000,บางแค
322,117,4,23000000,บางแค
323,42,5,14900000,บางแค
324,54,4,5900000,บางแค
325,51.8,3,4000000,บางแค
326,24.4,3,3000000,บางแค
327,35.9,3,3650000,บางแค
328,21.5,2,2100000,บางแค
329,68,2,34300000,บางแค
330,17.4,3,2990000,บางแค
331,22,2,2999000,บางแค
332,27.6,3,4100000,บางซื่อ
333,25.3,4,4500000,บางซื่อ
334,17,2,2980000,บางซื่อ
335,68,5,10000000,บางซื่อ
336,136,5,49500000,บางซื่อ
337,23.9,4,4190000,บางซื่อ
338,54,3,18000000,บางซื่อ
339,17.3,2,4290000,บางซื่อ
340,42,2,5000000,บางซื่อ
341,59,3,8500000,บางซื่อ
342,120,6,16500000,บางซื่อ
343,50,3,7200000,บางซื่อ
344,24,5,6790000,บางซื่อ
345,84,4,13000000,บางซื่อ
346,72,5,41200000,บางซื่อ
347,93,3,20000000,บางซื่อ
348,45.2,4,5500000,บางซื่อ
349,51,3,13000000,บางซื่อ
350,20,3,2500000,บางซื่อ
351,71.8,4,9900000,บางซื่อ
352,149,4,15000000,บางซื่อ
353,96,6,8000000,บางซื่อ
354,23,2,5600000,บางซื่อ
355,136,5,49500000,บางซื่อ
356,40.4,3,10000000,บางซื่อ
357,578,4,90000000,บางซื่อ
358,50,4,9000000,บางซื่อ
359,27,4,6800000,บางซื่อ
360,16.3,3,3125000,บางซื่อ
361,24.7,3,4300000,บางซื่อ
362,98,4,18000000,บางซื่อ
363,61,3,1990000,บางซื่อ
364,74,4,12000000,บางซื่อ
365,366,6,69900000,บางนา
366,88,5,24000000,บางนา
367,16,3,2100000,บางนา
368,242,5,39000000,บางนา
369,90,4,35000000,บางนา
370,108.2,4,22000000,บางนา
371,138.25,5,99000000,บางนา
372,103,3,15900000,บางนา
373,53,4,15000000,บางนา
374,86,5,26000000,บางนา
375,52.5,3,4590000,บางนา
376,130,4,50000000,บางนา
377,80,3,11000000,บางนา
378,89,5,21000000,บางนา
379,63,5,15000000,บางนา
380,51.4,3,5300000,บางนา
381,207,5,25000000,บางนา
382,258,4,45000000,บางนา
383,19.9,2,3490000,บางนา
384,108,4,19600000,บางนา
385,110.2,4,59000000,บางนา
386,57.3,4,19900000,บางนา
387,50,3,6500000,บางนา
388,108,4,23500007,บางนา
389,132.2,4,92000000,บางนา
390,110,4,45000000,บางนา
391,80.3,4,30000000,บางนา
392,57.3,4,19900000,บางนา
393,20.9,2,5190000,บางนา
394,77.9,4,23000000,บางนา
395,16,2,2990000,บางนา
396,79,4,23000000,บางนา
397,21.2,2,4500000,บางนา
398,54,6,11300000,บางนา
399,132,4,51900000,บางนา
400,75,4,17500000,บางนา
401,619,6,120000000,บางนา
402,121.1,4,33000000,บางนา
403,44,3,22000000,บางนา
404,49,3,19000000,บางนา
405,106,3,18900000,บางนา
406,67,4,10300000,บางนา
407,72.6,4,9260000,บางนา
408,18.8,2,4900000,บางนา
409,41.2,3,15900000,บางนา
410,65.5,4,14500000,บางนา
411,30.2,3,6390000,บางนา
412,72,4,9260000,บางนา
413,72,4,8900000,บางนา
414,80,3,11000000,บางนา
415,64,3,8755000,บางนา
416,69.3,4,26500000,บางนา
417,57.3,4,22000000,บางนา
418,50.3,3,7500000,บางนา
419,43,3,6990000,บางนา
420,74.4,4,16000000,บางนา
421,50.8,4,15900000,บางนา
422,16,2,2990000,บางนา
423,55,4,12300000,บางนา
424,37.5,3,7750000,บางนา
425,128,4,81900000,บางนา
426,88,5,24000000,บางนา
427,54.6,3,8690000,บางนา
428,58,4,9900000,บางนา
429,60,3,6700000,บางนา
430,38,3,3890000,บางนา
431,223,3,85900000,บางนา
432,28,5,9500000,บางนา
433,50.8,4,15000000,บางนา
434,77.9,4,23000000,บางนา
435,28,5,9900000,บางนา
436,88,5,24000000,บางนา
437,237,4,19900000,บางนา
438,52,3,2990000,บางนา
439,61,3,4900000,บางนา
440,51.2,3,5300000,บางนา
441,132.2,4,92000000,บางนา
442,40.5,3,5990000,บางนา
443,71.3,3,9990000,บางนา
444,69.3,4,24900000,บางนา
445,44,2,8900000,บางนา
446,32.2,3,4798000,บางนา
447,124,4,39000000,บางนา
448,18.8,2,4490000,บางนา
449,63,5,15000000,บางนา
450,69.3,4,24900000,บางนา
451,19.9,3,3690000,บางนา
452,57.3,4,19900000,บางนา
453,69.3,4,24900000,บางนา
454,121.94,5,32000000,บางนา
455,88,5,26000000,บางนา
456,88,5,23500000,บางนา
457,143,2,11880000,บางนา
458,25,3,6900000,บางนา
459,30,3,4700000,บางนา
460,236,4,16500000,บางนา
461,69,4,24890000,บางนา
462,52.6,4,11900000,บางนา
463,55,4,9500000,บางนา
464,55,4,9500000,บางนา
465,52,3,5200000,บางนา
466,140,4,65000000,บางนา
467,366,5,69900000,บางนา
468,19.2,3,2500000,บางนา
469,81,4,16500000,บางนา
470,80.9,4,8900000,บางนา
471,20,1,3900000,บางนา
472,21.3,3,3490000,บางนา
473,80.3,4,30000000,บางนา
474,52,3,3799000,บางนา
475,69.3,4,24900000,บางนา
476,62.23,4,32900000,บางนา
477,50.3,3,7450000,บางนา
478,54,3,7590000,บางนา
479,74.5,4,17900000,บางนา
480,23,3,3400000,บางนา
481,129.8,4,19500000,บางนา
482,69.3,4,25700000,บางนา
483,69.3,4,24900000,บางนา
484,106,4,18900000,บางนา
485,57.3,4,19900000,บางนา
486,40,4,4000000,บางนา
487,50,2,4000000,บางนา
488,65.9,3,6290000,บางนา
489,70.1,4,17800000,บางนา
490,61.9,4,17500000,บางนา
491,62,4,16500000,บางนา
492,27.5,3,2950000,บางนา
493,300,4,20000000,บางนา
494,133.5,4,34000000,บางนา
495,18,2,1750000,บางนา
496,39.2,3,3890000,บางนา
497,84,4,16500000,บางนา
498,29.2,3,3490000,บางนา
499,52.1,3,8690000,บางนา
500,50,3,5490000,บางนา
501,128.9,3,59000000,บางนา
502,86,5,25000000,บางนา
503,55,3,24990000,บางนา
504,22,3,3090000,บางนา
505,120,5,32000000,บางนา
506,25,1,2800000,บางนา
507,58,5,7900000,บางนา
508,50,4,11600000,บางนา
509,71,5,19900000,บางนา
510,67.6,4,14500000,บางนา
511,69,4,24900000,บางนา
512,57,4,19900000,บางนา
513,27.5,3,2950000,บางนา
514,19.8,2,4500000,บางนา
515,156,5,45000000,บางนา
516,86.1,5,25000000,บางนา
517,22,3,3300000,บางนา
518,21.3,3,2990000,บางนา
519,16.5,2,2700000,บางนา
520,619,6,169000000,บางนา
521,88,5,24000000,บางนา
522,20,3,2200000,บางนา
523,450,3,34500000,บางนา
524,19,3,2890000,บางนา
525,49,4,3800000,บางนา
526,435,5,65000000,บางนา
527,128,4,81900000,บางนา
528,235,5,125000000,บางนา
529,40,3,24000000,บางนา
530,103.5,5,25000000,บางนา
531,140,3,25000000,บางนา
532,271,6,58000000,บางนา
533,125.9,3,33500000,บางนา
534,125.2,4,55000000,บางนา
535,80,5,89000000,บางนา
536,83,3,5900000,บางนา
537,25.1,3,3300000,บางนา
538,50,3,5590000,บางนา
539,101,4,30000000,บางนา
540,24.5,3,5300000,บางนา
541,57.3,4,19890000,บางนา
542,19.2,3,2490000,บางนา
543,48,4,5000000,บางนา
544,57.3,4,19900000,บางนา
545,62,5,16000000,บางนา
546,22,3,3500000,บางนา
547,103.5,4,26400000,บางนา
548,18.8,2,2990000,บางนา
549,88,5,24000000,บางนา
550,130,4,50000000,บางนา
551,57.3,4,19900000,บางนา
552,163,4,52000000,บางนา
553,50,3,3900000,บางนา
554,69.3,4,24900000,บางนา
555,89.6,3,8600000,บางนา
556,153.4,4,186100000,บางนา
557,48,3,6200000,บางบอน
558,115.5,3,5300000,บางบอน
559,50,4,4590000,บางบอน
560,30,3,3900000,บางบอน
561,177.9,4,21000000,บางบอน
562,111.9,3,5690000,บางบอน
563,22.3,4,5490000,บางบอน
564,18,2,2590000,บางบอน
565,105,4,11900000,บางบอน
566,38,3,4560000,บางบอน
567,22,3,3900000,บางบอน
568,107,4,7350000,บางบอน
569,64.6,4,4800000,บางบอน
570,63.1,3,3490000,บางบอน
571,130,4,16800000,บางบอน
572,24,3,2950000,บางบอน
573,20,3,5990000,บางบอน
574,129.8,4,16900000,บางบอน
575,48,4,25000000,บางบอน
576,60,3,9500000,บางบอน
577,110,4,8700000,บางบอน
578,65,3,4498000,บางบอน
579,129.8,4,16800000,บางบอน
580,31,3,5200000,บางบอน
581,50,4,4500000,บางบอน
582,20.7,3,3300000,บางบอน
583,80.3,4,18600000,บางบอน
584,85,3,8600000,บางบอน
585,104,5,12900000,บางบอน
586,33.9,3,3500000,บางบอน
587,150,4,16900000,บางบอน
588,55.9,3,4200000,บางบอน
589,150,4,16000000,บางบอน
590,19.4,3,3750000,บางบอน
591,116.5,4,23500000,บางบอน
592,41,4,9800000,บางบอน
593,41.5,4,9300000,บางบอน
594,150,4,16900000,บางบอน
595,188,4,35000000,บางบอน
596,122.7,4,7900000,บางบอน
597,120,3,19300000,บางบอน
598,70.1,4,19290000,บางบอน
599,35,3,4350000,บางบอน
600,20,3,6100000,บางบอน
601,77,3,4800000,บางบอน
602,102,3,4500000,บางบอน
603,70.5,3,10500000,บางบอน
604,23.8,3,5300000,บางบอน
605,36,4,11500000,บางรัก
606,116,6,73000000,บางรัก
607,44,4,17900000,พญาไท
608,489.33,3,70500000,พญาไท
609,53.5,3,70500000,พญาไท
610,25.5,2,12990000,พญาไท
611,53,3,70000000,พญาไท
612,100,4,57000000,พญาไท
613,145.9,4,22000000,มีนบุรี
614,20,1,1250000,มีนบุรี
615,69,3,5950000,มีนบุรี
616,19.5,2,2650000,มีนบุรี
617,48,3,6600000,มีนบุรี
618,66.2,3,4200000,มีนบุรี
619,17,2,2160000,มีนบุรี
620,74,4,12900000,มีนบุรี
621,53,3,3450000,มีนบุรี
622,38.5,3,6100000,มีนบุรี
623,17.8,2,1650000,มีนบุรี
624,25,4,4500000,มีนบุรี
625,70,2,2480000,มีนบุรี
626,19,2,1790000,มีนบุรี
627,50,3,2900000,มีนบุรี
628,50.6,3,4890000,มีนบุรี
629,26.9,2,1500000,มีนบุรี
630,70,3,6700000,มีนบุรี
631,57.5,4,6990000,มีนบุรี
632,55,3,6200000,มีนบุรี
633,24,4,2600000,มีนบุรี
634,27,1,1200000,มีนบุรี
635,16,2,1790000,มีนบุรี
636,81,5,7300000,มีนบุรี
637,60,4,7250000,มีนบุรี
638,23,4,2350000,มีนบุรี
639,20.8,5,4190000,มีนบุรี
640,50,4,3300000,มีนบุรี
641,162,3,7590000,มีนบุรี
642,55.1,3,3180000,มีนบุรี
643,71,3,7900000,มีนบุรี
644,90,5,4890000,มีนบุรี
645,18,2,1350000,มีนบุรี
646,34.9,3,2290000,มีนบุรี
647,20,2,1580000,มีนบุรี
648,66.3,3,6500000,มีนบุรี
649,22,2,2290000,มีนบุรี
650,34,2,1850000,มีนบุรี
651,16.5,2,1500000,มีนบุรี
652,170,5,49900000,มีนบุรี
653,17.8,3,2950000,มีนบุรี
654,55,5,5000000,มีนบุรี
655,98,4,8290000,มีนบุรี
656,50.9,3,4990000,มีนบุรี
657,105.6,3,6250000,มีนบุรี
658,54.2,3,4490000,มีนบุรี
659,28.2,2,2490000,มีนบุรี
660,56,8,6199000,มีนบุรี
661,259,5,34000000,มีนบุรี
662,18.2,3,2490000,มีนบุรี
663,21,4,3300000,มีนบุรี
664,17,3,3000000,มีนบุรี
665,41,4,3200000,มีนบุรี
666,50,4,3890000,มีนบุรี
667,28.2,4,3790000,มีนบุรี
668,35.8,3,3800000,มีนบุรี
669,74.2,3,6200000,มีนบุรี
670,50,3,4500000,มีนบุรี
671,144,3,9500000,มีนบุรี
672,16,3,1900000,มีนบุรี
673,50,3,5890000,มีนบุรี
674,20.4,3,2290000,มีนบุรี
675,32,2,1000000,มีนบุรี
676,23.6,3,4250000,มีนบุรี
677,80,3,5150000,มีนบุรี
678,150,5,10900000,มีนบุรี
679,288,4,37000000,มีนบุรี
680,61,4,4750000,มีนบุรี
681,54,4,4500000,มีนบุรี
682,72,4,6950000,มีนบุรี
683,20,3,1890000,มีนบุรี
684,37,3,3790000,มีนบุรี
685,50,3,4600000,มีนบุรี
686,163.4,4,42800000,มีนบุรี
687,74.2,4,6500000,มีนบุรี
688,65.6,3,10900000,มีนบุรี
